[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(31) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(32) | TasBackgroundQueueItemListener is started
[2015-10-24 19:03:25] [DEBUG] com.tionsoft.mas.tas.queue.listener.TasBackgroundQueueItemListener.run(33) | >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
